Srno,EnglishRecepie,FlavourProfile,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Diet,Course,Cuisine,Region,StringCleanedLowerIngredientsFiltered,ProcessedCleanedLoweredIngredientsFiltered,common_alergens,URL
12,Veg Chili Cheese Burgers Recipe,Savory,10,45,55,4,Vegetarian,Main Course,Continental,International,burger buns pickled jalapenos cheese slices potatoes aloo pressure onion chilli salt egg wheat bread crumbs laung garlic onions tomato tomato puree green bell pepper capsicum soy granules chilli chilli flakes jeera jeera dried oregano tabasco original hot sauce honey salt sunflower oil,"['burger', 'buns', 'pickled', 'jalapenos', 'cheese', 'slices', 'potatoes', 'aloo', 'pressure', 'onion', 'chilli', 'salt', 'egg', 'wheat', 'bread', 'crumbs', 'laung', 'garlic', 'onions', 'tomato', 'tomato', 'bell', 'pepper', 'capsicum', 'soy', 'granules', 'chilli', 'chilli', 'flakes', 'jeera', 'jeera', 'oregano', 'tabasco', 'original', 'hot', 'honey', 'salt', 'oil']",['cheese'],https://www.archanaskitchen.com/veg-chili-cheese-burgers-recipe
13,Andhra Steel Ingavu Charu Recipe  Asfoitida Flavored Tamarand Rasam,Spicy,0,30,30,4,Vegetarian,Lunch,Andhra,South India,tamarind water arhar dal toor dal hinghing salt mustard jeera jeera methi methiseeds sprig curry hinghing sunflower oil,"['tamarind', 'water', 'arhar', 'dal', 'toor', 'dal', 'hinghing', 'salt', 'mustard', 'jeera', 'jeera', 'methi', 'methiseeds', 'sprig', 'curry', 'hinghing', 'oil']",['mustard'],https://www.archanaskitchen.com/andhra-style-ingavu-chaaru-recipe-asafetida-flavored-tamarind-rasam
14,And fish soup recipe  Bengali style fish in tomato gravy,Savory,5,15,20,2,High Protein Non Vegetarian,Dinner,Bengali Recipes,East India,aar maach fish rohu katla fish steaks tomato bay tej patta ginger green chillies coarsely crushed jeera jeera coriander coriander salt jeera jeera haldi haldi green chillies lengthwise mustard oil water add if you like loose gravy sugar coriander coriander,"['aar', 'maach', 'fish', 'rohu', 'katla', 'fish', 'steaks', 'tomato', 'bay', 'tej', 'patta', 'ginger', 'chillies', 'coarsely', 'jeera', 'jeera', 'coriander', 'coriander', 'salt', 'jeera', 'jeera', 'haldi', 'haldi', 'chillies', 'lengthwise', 'mustard', 'oil', 'water', 'add', 'if', 'you', 'like', 'loose', 'gravy', 'sugar', 'coriander', 'coriander']","['fish', 'mustard']",https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-style-fish-in-spicy-tomato-gravy
15,Saunf Aloo (saufPotato Curry) Recipe,Spicy,10,15,25,6,Vegetarian,Lunch,Punjabi,North India,potatoes aloo halved skin saufseeds saunf crushed chilli haldi haldi fresh cream milk sprig coriander coriander,"['potatoes', 'aloo', 'halved', 'with', 'skin', 'saufseeds', 'saunf', 'chilli', 'haldi', 'haldi', 'cream', 'milk', 'sprig', 'coriander', 'coriander']",['milk'],https://www.archanaskitchen.com/saunf-aloo-sauf-potato-curry-recipe
16,South Indian Onion Chutney Recipe  South Indian Onion Chutney (Recipe),Spicy,20,20,40,4,Vegetarian,Side Dish,South Indian Recipes,South India,onions jeera black urad dal tamarind chillies jaggery oil salt rye sprig curry oil,"['onions', 'jeera', 'urad', 'dal', 'tamarind', 'chillies', 'jaggery', 'oil', 'salt', 'rye', 'sprig', 'curry', 'oil']",[],http://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi
17,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Savory,15,20,35,4,Non Vegeterian,Lunch,Indian,Indian,egg boiled elaichi stick dalchini tej tej patta laung laung sunflower oil coriander coriander garam masala fresh cream coriander coriander tightly packed mint mint green chillies onion ginger laung garlic,"['egg', 'boiled', 'elaichi', 'dalchini', 'tej', 'tej', 'patta', 'laung', 'laung', 'oil', 'coriander', 'coriander', 'garam', 'masala', 'cream', 'coriander', 'coriander', 'tightly', 'packed', 'mint', 'mint', 'chillies', 'onion', 'ginger', 'laung', 'garlic']",[],https://www.archanaskitchen.com/hariyali-egg-curry-recipe-in-coriander-and-mint-gravy
18,Gourd Raita Recipe  Grated Bottle Gourd Yogurt Salad,Sweet,15,15,30,4,Vegetarian,Side Dish,Indian,Indian,curd gourd peel tighten cucumber peel grind green green coriander little jeera salt,"['curd', 'gourd', 'peel', 'tighten', 'cucumber', 'peel', 'grind', 'coriander', 'little', 'jeera', 'salt']",['curd'],http://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi
19,Homemade Tater Tots Recipe,Savory,15,45,60,8,Vegetarian,Appetizer,Continental,International,potatoes aloo garlic onion dried oregano coriander coriander chilli flakes purpose flour maida rice flour salt sunflower oil deep the tater tots,"['potatoes', 'aloo', 'garlic', 'onion', 'oregano', 'coriander', 'coriander', 'chilli', 'flakes', 'flour', 'maida', 'rice', 'flour', 'salt', 'oil', 'deep', 'the', 'tater', 'tots']",[],http://www.archanaskitchen.com/homemade-tater-tots-recipe
20,Chettinad Vegetable Casserole Recipe  Chettinad Vegetable Pulao Recipe,Spicy,15,45,60,4,Vegetarian,Dinner,Chettinad,South India,rice wash well water onions laung garlic tighten ginger tighten green chillies straight tej break chilli haldi carrot chop green beans chop potatoes peel chop ghee laung elaichi sauf pepper coriander green peas steam mint,"['rice', 'wash', 'well', 'water', 'onions', 'laung', 'garlic', 'tighten', 'ginger', 'tighten', 'chillies', 'straight', 'tej', 'break', 'chilli', 'haldi', 'carrot', 'chop', 'beans', 'chop', 'potatoes', 'peel', 'chop', 'ghee', 'laung', 'elaichi', 'sauf', 'pepper', 'coriander', 'peas', 'steam', 'mint']","['ghee', 'carrot']",https://www.archanaskitchen.com/chettinad-vegetable-pulao-recipe-with-kohinoor-silver-basmati-rice-in-hindi
21,Garlic Amla Chutney Recipe  Lehsun Amla Chutney Recipe,Tangy,5,10,15,3,Vegetarian,Side Dish,Tamil Nadu,South India,amla onions bud garlic green chillies mint coriander salt oil oil rye urad dal chana dal sprig curry cashew nuts,"['amla', 'onions', 'bud', 'garlic', 'chillies', 'mint', 'coriander', 'salt', 'oil', 'oil', 'rye', 'urad', 'dal', 'chana', 'dal', 'sprig', 'curry', 'cashew', 'nuts']",[],http://www.archanaskitchen.com/lehsun-amla-chutney-recipe-garlic-gooseberry-chutney-in-hindi
22,Maharashtrian Kakdi Thalipeeth Recipe  Spiced Cucumber Flat Bread,Spicy,30,30,60,4,Diabetic Friendly,Indian Breakfast,Maharashtrian Recipes,West India,flour besan wheat flour rice flour cucumber haldi haldi jeera jeera coriander coriander chilli green chillies coriander coriander laung garlic salt ghee smearing on thalipeeth,"['gram', 'flour', 'besan', 'wheat', 'flour', 'rice', 'flour', 'cucumber', 'peeled', 'haldi', 'haldi', 'jeera', 'jeera', 'coriander', 'coriander', 'chilli', 'chillies', 'coriander', 'coriander', 'laung', 'garlic', 'salt', 'ghee', 'smearing', 'on', 'thalipeeth']",['ghee'],http://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread
23,Homemade Healthy Subway Sandwich Recipe With Beet  Sprout,Sweet,15,15,30,4,High Protein Vegetarian,Dinner,Fusion,International,submarine bread subway bread flat breads foot longs green moong sprouts beetroot laung garlic hung curd greek curd coriander coriander tomato stalks spring onion bulb greens tabasco original hot sauce saltand pepper,"['submarine', 'bread', 'subway', 'bread', 'flat', 'breads', 'foot', 'longs', 'moong', 'sprouts', 'beetroot', 'laung', 'garlic', 'curd', 'curd', 'coriander', 'coriander', 'tomato', 'stalks', 'spring', 'onion', 'bulb', 'greens', 'tabasco', 'original', 'hot', 'saltand', 'pepper']",['curd'],http://www.archanaskitchen.com/homemade-healthy-subway-sandwich-recipe-with-beet-sprout
24,South Indian Style Murungakkai Poriyal Recipe  Drumstick Stir Fry,Sweet,30,15,45,4,Vegetarian,Side Dish,South Indian Recipes,South India,drumstick fresh coconut green chillies sprig curry mustard coconut oil chillies haldi haldi salt water,"['drumstick', 'coconut', 'chillies', 'sprig', 'curry', 'mustard', 'coconut', 'oil', 'chillies', 'haldi', 'haldi', 'salt', 'water']",['mustard'],http://www.archanaskitchen.com/murungakkai-poriyal-recipe-south-indian-style-drumstick-stir-fry
25,Kesar Mango Lassi Recipe  Saffron Mango Lassi Recipe,Sweet,15,10,25,2,Vegetarian,Snack,Indian,Indian,mango pulp puree curd curd curd low fat sugar honey saffron strands almond almond milk luke warmmore cold milk ice,"['mango', 'pulp', 'curd', 'curd', 'curd', 'low', 'fat', 'sugar', 'honey', 'saffron', 'almond', 'almond', 'milk', 'luke', 'warmmore', 'cold', 'milk', 'ice']","['mango', 'milk', 'curd']",https://www.archanaskitchen.com/mango-saffron-lassi-recipe
26,Chettinad Sweet Paniyaram Recipe  Chettinad Sweet Paniyaram Recipe,Sweet,5,20,25,10,Vegetarian,Snack,Chettinad,South India,idli dosa mixture rice rava jaggery coconut cardamom salt water oil,"['idli', 'dosa', 'mixture', 'rice', 'rava', 'jaggery', 'coconut', 'cardamom', 'salt', 'water', 'oil']",[],http://www.archanaskitchen.com/chettinad-sweet-paniyaram-recipe-in-hindi
27,Mini Dal Samosa Curry  Sabzi Recipe,Spicy,5,30,35,3,Vegetarian,Lunch,North Indian Recipes,North India,cardamom elaichi podsseeds black peppercorns elaichi stick dalchini laung laung laung mace javitri tej tej patta black cardamom badi elaichi kasuri methi dried methileaves kashmiri chilli haldi haldi coriander coriander garam masala samosas mini cashew nuts green chilli onion tomato ginger sugar fresh cream sunflower oil,"['cardamom', 'elaichi', 'podsseeds', 'peppercorns', 'elaichi', 'dalchini', 'laung', 'laung', 'laung', 'mace', 'javitri', 'tej', 'tej', 'patta', 'cardamom', 'badi', 'elaichi', 'kasuri', 'methi', 'methileaves', 'chilli', 'haldi', 'haldi', 'coriander', 'coriander', 'garam', 'masala', 'samosas', 'mini', 'cashew', 'nuts', 'chilli', 'onion', 'tomato', 'ginger', 'sugar', 'cream', 'oil']",[],http://www.archanaskitchen.com/mini-dal-samosa-curry-recipe
28,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Spicy,10,20,30,4,Vegetarian,Appetizer,Italian Recipes,International,baguette butter garlic spinach palak bell pepper capsicum tomato onion black pepper adjust italian seasoning fresh cream cheddar cheese salt roasted tomato pasta sauce,"['baguette', 'butter', 'garlic', 'minced', 'spinach', 'palak', 'bell', 'pepper', 'capsicum', 'tomato', 'onion', 'pepper', 'adjust', 'italian', 'seasoning', 'cream', 'cheddar', 'cheese', 'salt', 'tomato', 'pasta']","['butter', 'cheese']",http://www.archanaskitchen.com/spinach-garlic-bruschetta-recipe-with-red-bell-pepper-sauce
29,Mini Dal Mature Chat Recipe  That Perfect Party Snack,Tangy,20,45,65,30,Vegetarian,Appetizer,Sindhi,North West India,wheat flour purpose flour maida ajwain carom jeera jeera ghee salt sunflower oil deep chana dal bengal dal haldi haldi garam masala chilli amchur mango sugar salt ghee hinghing jeera jeera green chillies sprig curry chutney date tamarind green chutney coriander mint onion fresh pomegranate fruit kernels sev,"['wheat', 'flour', 'flour', 'maida', 'ajwain', 'carom', 'jeera', 'jeera', 'ghee', 'salt', 'oil', 'deep', 'chana', 'dal', 'gram', 'dal', 'haldi', 'haldi', 'garam', 'masala', 'chilli', 'amchur', 'mango', 'sugar', 'salt', 'ghee', 'hinghing', 'jeera', 'jeera', 'chillies', 'sprig', 'curry', 'chutney', 'date', 'tamarind', 'chutney', 'coriander', 'mint', 'onion', 'pomegranate', 'fruit', 'kernels', 'sev']","['mango', 'ghee']",https://www.archanaskitchen.com/mini-dal-pakwan-chaat-recipe-a-perfect-party-snack
30,Asian Style Sweet  Spicy Green Beans Recipe,Spicy,10,15,25,4,High Protein Vegetarian,Side Dish,Thai,International,green beans french beans half laung garlic soy sauce thai chilli sauce lemon juice rice wine vinegar roasted peanut peanut salt sesame gingelly oil,"['beans', 'french', 'beans', 'half', 'laung', 'garlic', 'soy', 'thai', 'chilli', 'lemon', 'rice', 'wine', 'vinegar', 'peanut', 'peanut', 'salt', 'sesame', 'gingelly', 'oil']",['sesame'],http://www.archanaskitchen.com/asian-style-spicy-green-beans-recipe
31,Chinese Darsaan Recipe With Ice Cream,Sweet,15,25,40,4,Vegetarian,Dessert,Chinese,International,sunflower oil purpose flour maida baking water the dough sunflower oil deep honey sugar sesame til water vanilla extract,"['oil', 'flour', 'maida', 'baking', 'water', 'the', 'dough', 'oil', 'deep', 'fry', 'honey', 'sugar', 'sesame', 'til', 'water', 'vanilla']",['sesame'],http://www.archanaskitchen.com/chinese-darsaan-recipe-with-ice-cream
32,Sundakkai and Methi Leaves Sambar Recipe  Sundkai Methi Sambar Recipe,Tangy,30,35,65,4,Diabetic Friendly,Lunch,South Indian Recipes,South India,sundkai methi arhar dal boiled mashed tomato tamarind haldi sambar coriander mustard jeera chili hing oil salt curry little green coriander little water according,"['sundkai', 'methi', 'arhar', 'dal', 'boiled', 'tomato', 'tamarind', 'haldi', 'sambar', 'coriander', 'mustard', 'jeera', 'chili', 'hing', 'oil', 'salt', 'curry', 'little', 'coriander', 'little', 'water', 'according']",['mustard'],https://www.archanaskitchen.com/sundakkai-and-methi-leaves-sambar-recipe-in-hindi
33,Cabbage Spinach Pomegranate Slaw with Lemon Dressing Recipe,Spicy,15,0,15,4,Vegetarian,Appetizer,Continental,International,cabbage patta gobi muttaikose spinach fresh pomegranate fruit kernels lemon juice olive oil saltand pepper,"['cabbage', 'patta', 'gobi', 'muttaikose', 'spinach', 'pomegranate', 'fruit', 'kernels', 'lemon', 'olive', 'oil', 'saltand', 'pepper']",[],https://www.archanaskitchen.com/cabbage-spinach-pomegranate-slaw-with-lemon-dressing-recipe
34,Matar Samosa Recipe Green Pea Samosa,Spicy,45,10,55,4,Vegetarian,Snack,North Indian Recipes,North India,purpose flour maida ghee salt sunflower oil deep ghee jeera jeera green chilli sauce elaichi dalchini garam masala chilli amchur mango green peas matar steamed mashed salt purpose flour maida water,"['flour', 'maida', 'ghee', 'salt', 'oil', 'deep', 'ghee', 'jeera', 'jeera', 'chilli', 'elaichi', 'dalchini', 'garam', 'masala', 'chilli', 'amchur', 'mango', 'peas', 'matar', 'steamed', 'salt', 'flour', 'maida', 'water']","['mango', 'ghee']",https://www.archanaskitchen.com/matar-samosa-recipe-green-pea-samosa
35,Eggless Chocolate Cupcakes With Raspberry  Cheese Frosting,Sweet,20,20,40,4,Vegetarian,Dessert,Continental,International,purpose flour maida sugar dark chocolate cocoa salted butter milk baking baking soda vanilla extract britannia cream cheese caster sugar vanilla extract fresh raspberries,"['flour', 'maida', 'sugar', 'chocolate', 'cocoa', 'salted', 'butter', 'milk', 'baking', 'baking', 'soda', 'vanilla', 'britannia', 'cream', 'cheese', 'caster', 'sugar', 'vanilla', 'raspberries']","['butter', 'milk', 'cheese']",http://www.archanaskitchen.com/eggless-chocolate-cupcakes-with-raspberry-and-cream-cheese-frosting-recipe
36,Kerala pala pradham recipe,Spicy,15,75,90,4,Vegetarian,Dessert,Kerala Recipes,South India,ada milk cream sugar ghee cardamom elaichi,"['ada', 'liter', 'milk', 'cream', 'sugar', 'ghee', 'cardamom', 'elaichi']","['ghee', 'milk']",https://www.archanaskitchen.com/kerala-palada-pradhaman-recipe
37,Tindora Sambharo Recipe  Instant Tendli Pickle,Tangy,20,15,35,1,Vegetarian,Side Dish,Gujarati Recipes,West India,tindora dondakaya kovakkai chilli methi methi kuria mustard rai kuria haldi haldi hinghing sunflower oil lemon juice extracted salt,"['tindora', 'dondakaya', 'kovakkai', 'chilli', 'methi', 'methi', 'kuria', 'mustard', 'rai', 'kuria', 'haldi', 'haldi', 'hinghing', 'oil', 'lemon', 'extracted', 'salt']",['mustard'],https://www.archanaskitchen.com/tindora-sambharo-recipe-instant-tendli-pickle
38,Chettinad Style Chicken Roast Recipe,Spicy,15,20,35,3,High Protein Non Vegetarian,Appetizer,Chettinad,South India,chicken legs hung curd greek curd haldi haldi salt sunflower oil onion laung garlic ginger fresh coconut jeera jeera coriander coriander methi methiseeds kalonji onion nigella black peppercorns chillies saufseeds saunf elaichi stick dalchini laung laung cardamom elaichi podsseeds mustard ghee tamarind jaggery ghee mustard sprig curry laung garlic,"['chicken', 'legs', 'curd', 'curd', 'haldi', 'haldi', 'salt', 'oil', 'onion', 'laung', 'garlic', 'ginger', 'coconut', 'jeera', 'jeera', 'coriander', 'coriander', 'methi', 'methiseeds', 'kalonji', 'onion', 'nigella', 'peppercorns', 'chillies', 'saufseeds', 'saunf', 'elaichi', 'dalchini', 'laung', 'laung', 'cardamom', 'elaichi', 'podsseeds', 'mustard', 'ghee', 'tamarind', 'jaggery', 'ghee', 'mustard', 'sprig', 'curry', 'laung', 'garlic']","['ghee', 'mustard', 'chicken', 'curd']",https://www.archanaskitchen.com/chettinad-style-chicken-roast-recipe
39,Palakottai Kujambu RecipeKongunad Style Jackfruit Seeds Curry,Savory,5,20,25,4,Vegetarian,Side Dish,Tamil Nadu,South India,jackfruit kathal tamarind water laung garlic mustard jeera jeera curry haldi haldi chilli sambar hinghing coriander coriander bunch salt sunflower oil fresh coconut black peppercorns chillies onion tomato coriander coriander sunflower oil,"['jackfruit', 'kathal', 'tamarind', 'water', 'laung', 'garlic', 'mustard', 'jeera', 'jeera', 'curry', 'haldi', 'haldi', 'chilli', 'sambar', 'hinghing', 'coriander', 'coriander', 'bunch', 'salt', 'oil', 'coconut', 'peppercorns', 'chillies', 'onion', 'tomato', 'coriander', 'coriander', 'oil']",['mustard'],http://www.archanaskitchen.com/palakottai-kuzhambu-recipe-kongunad-style-jackfruit-seeds-curry
40,Baingan Bharta Recipe  Brinjal Bharta Recipe,Spicy,25,35,60,4,Vegetarian,Side Dish,Punjabi,North India,eggplant ginger peel tighten onion tomato green chillies haldi garam masala coriander butter chili salt oil sprigs coriander garnish,"['eggplant', 'ginger', 'peel', 'tighten', 'onion', 'tomato', 'chillies', 'haldi', 'garam', 'masala', 'coriander', 'butter', 'chili', 'salt', 'oil', 'sprigs', 'coriander']","['butter', 'eggplant']",http://www.archanaskitchen.com/baingan-bharta-recipe-in-hindi
41,Kesar Chai Recipe  A Delicious Saffron Flavored Indian Tea,Sweet,0,10,10,2,Vegetarian,North Indian Breakfast,North Indian Recipes,North India,water tea milk saffron strands more,"['water', 'tea', 'milk', 'saffron', 'more']",['milk'],http://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea
42,Pacha Manga Pachadi Recipe  Tamil Nadu Raw Mango Pachadi Recipe,Tangy,5,30,35,4,Vegetarian,Side Dish,Tamil Nadu,South India,mango chop big tamarind water jaggery sambar haldi salt mustard hing sprig curry chillies oil,"['mango', 'chop', 'big', 'tamarind', 'water', 'jaggery', 'sambar', 'haldi', 'salt', 'mustard', 'hing', 'sprig', 'curry', 'chillies', 'oil']","['mango', 'mustard']",http://www.archanaskitchen.com/pacha-manga-pachadi-recipe-tamil-nadu-raw-mango-pachadi-in-hindi
43,Short Knot Husband Recipe  Raw Jackfruit  Black Chickpea Stir Fry,Savory,10,45,55,4,Vegetarian,Lunch,Coorg,South India,jackfruit kathal kala chana brown chickpeas overnight mustard jeera jeera sprig curry tomato tamarind water haldi haldi chillies jeera jeera coriander coriander laung laung elaichi stick dalchini fresh coconut ginger laung garlic,"['jackfruit', 'kathal', 'chana', 'brown', 'chickpeas', 'overnight', 'mustard', 'jeera', 'jeera', 'sprig', 'curry', 'tomato', 'tamarind', 'water', 'haldi', 'haldi', 'chillies', 'jeera', 'jeera', 'coriander', 'coriander', 'laung', 'laung', 'elaichi', 'dalchini', 'coconut', 'ginger', 'laung', 'garlic']",['mustard'],https://www.archanaskitchen.com/kodava-style-mudi-chekke-barthad-recipe-raw-jackfruit-black-chickpea-stir-fry
44,Whole Wheat Crepe Recipe With Herbed Vegetables,Savory,10,45,55,4,Vegetarian,Lunch,Coorg,South India,wheat flour salt italian seasoning cheese spread flavoured broccoli florets onion bell pepper capsicum salt sprig parsley,"['wheat', 'flour', 'salt', 'italian', 'seasoning', 'cheese', 'spread', 'flavoured', 'broccoli', 'florets', 'onion', 'bell', 'pepper', 'capsicum', 'salt', 'sprig', 'parsley']",['cheese'],http://www.archanaskitchen.com/whole-wheat-crepe-recipe-with-herbed-vegetables
45,Makki and Methi Roti Recipe,Bitter,10,20,30,4,Vegetarian,Lunch,Punjabi,North India,makki ka atta corn flour methi methileaves green chillies ajwain carom kashmiri chilli salt,"['makki', 'ka', 'atta', 'corn', 'meal', 'flour', 'methi', 'methileaves', 'chillies', 'ajwain', 'carom', 'chilli', 'salt']",['corn'],https://www.archanaskitchen.com/makki-and-methi-roti-recipe
